name,latin_name,image_url
Amsel Schwarzdrossel, Turdus merula,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-amsel_seehawer.jpg
Bachstelze, Motacilla alba,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-seehawer_bachstelze.jpg
Baumfalke, Falco subbuteo,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-baumfalke_falco_subbuteo_tatiana_bulyonkova.jpg
Birkenzeisig, Carduelis flammea,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-birkenzeisig_juha_soininen_984434.jpg
Blässhuhn, Fulica atra,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-blesshuhn_philip_mackenzie_717748.jpg
Blaumeise, Cyanistes cearulus/Parus caeruleus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/_assets/umweltamt/umwelt/umweltgalerie/tiere/paruscaeruleus.jpg
Buchfink, Fringilla coelebs,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-buchfink_seehawer.jpg
Buntspecht, Dendrocops major/Picoides major,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/buntspecht_markus_gimperlein.jpg
Dohle, Corvus monedula,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-dohle_michal_zacharzewski_n2d7wrg.jpg
Drosselrohrsänger, Acrocephalus arundinaceus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-drosselrohrsaenger_sergey_yeliseev.jpg
Eichelhäher, Garrulus glandarius,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-eichelh__her_seehaswer_vollbild.jpg
Eisvogel, Alcedo atthis,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-eisvogel_mglhhr8_karunakar_rayker.jpg
Elster, Pica pica,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-elster___foto_von_enrico_seehawer.jpg
Fitis Laubsänger, Phylloscopus trochilus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-fitis_steve_garvie.jpg
Gartenbaumläufer, Certhia brachydactyla,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-gartenbaumlaeufer_aleph.jpg
Gartengrasmücke, Sylvia borin,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-gartengrasmuecke_ron_knight.jpg
Gartenrotschwanz, Phoenicurus phoenicurus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-gartenrotschwanz_steve_garvie.jpg
Gelbspötter, Hippolais icterina,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-gelbspoetter_mike_pennington.jpg
Gimpel Dompfaff, Pyrrhula pyrrhula,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-1151392_gimpel_juha_soininen.jpg
Girlitz, Serinus serinus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-girlitz_luis_garc__a.jpg
Goldammer, Emberiza citrinella,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-goldammer_alan_vernon.jpg
Graureiher, Ardea cinera,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-graureiher___foto_von_enrico_seehawer.jpg
Grauschnäpper, Musicapa striata,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-grauschnaepper__jerzystrzelecki.jpg
Grauspecht, Picus canus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-grauspecht_arudhio.jpg
Grünfink Grünling, Chloris chloris/Carduelis chloris,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-gruenfink___foto_von_enrico_seehawer.jpg
Grünspecht, Picus viridis,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-gruenspecht_remy_bpl.jpg
Hänfling Bluthänfling, Linaria cannabina,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-haenfling_mindaugas_urbonas.jpg
Haubenlerche, Galerida cristata,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-haubenlerche_avitopia.jpg
Haubenmeise, Lophophanus cristatus/Parus cristatus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-haubenmeise_artur_miko__ajewski.jpg
Haubentaucher, Podiceps cristatus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-haubentaucher_dickdaniels.jpg
Hausrotschwanz, Phoenicurus ochruros,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-hausrotschwanz_wikinoby.jpg
Haussperling Spatz, Passer domesticus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-haussperling_iva_villi_ook2mf8.jpg
Haustaube, Columba livia domesticus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-haustaube_nrao3t4_sanja_gjenero.jpg
Heckenbraunelle, Prunella modularis,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-heckenbraunelle_jim_middleton.jpg
Höckerschwan, Cygnus olor,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-seehawer_hoeckerschwan.jpg
Hohltaube, Columba oenas,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-hohltaube_chris_cant.jpg
Klappergrasmücke, Sylvia curruca,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-klappergrasmuecke_steevie.jpg
Kleiber, Sitta europaea,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-kleiber_kevin_tuck_mgrw1tc.jpg
Kleines Sumpfhuhn, Porzana parva,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-kleines_sumpfhuhn_htalpa.jpg
Kleinspecht, Dryobates minor/Picoides minor,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-kleinspecht_thermos.jpg
Kohlmeise, Parus major,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-kohlmeise___foto_von_enrico_seehawer.jpg
Mäusebussard, Buteo buteo,https://www.berlin.de/ba-charlottenburg-wilmersdorf/_assets/umweltamt/umwelt/umweltgalerie/tiere/buteo_1-loz.jpg
Mauersegler, Apus Apus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-mauerseglerapusapusklausroggel.jpg
Mehlschwalbe, Delichon urbica,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-mehlschwalbe_delichon_urbicum_estormiz.jpg
Mittelspecht, Leiopicus medicus/Dendrocopus medius,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-mittelspecht_am_futterring_maren_winter.jpg
Mönchsgrasmücke, Sylvia atricapilla,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-seehawer_moenchsgrasmuecke.jpg
Nachtigall, Luscinia megarhynchos,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-oaq0ahe.jpg
Nebelkrähe, Corvus corone corvix,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-nebelkaehe___foto_von_enrico_seehawer.jpg
Neuntöter, Lanius collurio,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-neuntoeter_flkr_sergey_yeliseev.jpg
Pirol Vogel Bülow, Oriolus oriolus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/_assets/umweltamt/natur/voegel/pirol_by_michel_idre.jpg
Rabenkrähe, Corvus corone corone,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-rabenkraehe_helmut_gevert_mc2zqus.jpg
Rauchschwalbe, Hirundo rustica,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-seehawer_rauchschwalbe.jpg
Reiherente, Aythya fuligula,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/letzte-aenderungen/mdb-seehawer_reiherente.jpg
Ringeltaube, Columba palumbus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-ringeltaube_dickdaniels_columba_palumbus.jpg
Rotkehlchen, Erithacus rubecula,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-rotkehlchen_vollbild.jpg
Saatkrähe, Corvus frugilegus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-saatkraehe_john_haslam.jpg
