name,alt_name,russian_name,wiki_de,latin_name,image_url
Amsel,Schwarzdrossel,Чёрный дрозд,https://de.wikipedia.org/wiki/Amsel,Turdus merula,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-amsel_seehawer.jpg
Bachstelze,,Белая трясогузка,https://de.wikipedia.org/wiki/Bachstelze,Motacilla alba,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-seehawer_bachstelze.jpg
Baumfalke,,Чеглок,https://de.wikipedia.org/wiki/Baumfalke,Falco subbuteo,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-baumfalke_falco_subbuteo_tatiana_bulyonkova.jpg
Birkenzeisig,,Чечётка,https://de.wikipedia.org/wiki/Birkenzeisig,Carduelis flammea,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-birkenzeisig_juha_soininen_984434.jpg
Blässhuhn,,Лысуха,https://de.wikipedia.org/wiki/Bl%C3%A4sshuhn,Fulica atra,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-blesshuhn_philip_mackenzie_717748.jpg
Blaumeise,,Обыкновенная лазоревка,https://de.wikipedia.org/wiki/Blaumeise,Cyanistes cearulus/Parus caeruleus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/_assets/umweltamt/umwelt/umweltgalerie/tiere/paruscaeruleus.jpg
Buchfink,,Зяблик,https://de.wikipedia.org/wiki/Buchfink,Fringilla coelebs,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-buchfink_seehawer.jpg
Buntspecht,,Большой пёстрый дятел,https://de.wikipedia.org/wiki/Buntspecht,Dendrocops major/Picoides major,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/buntspecht_markus_gimperlein.jpg
Dohle,,Галка,https://de.wikipedia.org/wiki/Dohle,Corvus monedula,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-dohle_michal_zacharzewski_n2d7wrg.jpg
Drosselrohrsänger,,Дроздовидная камышовка,https://de.wikipedia.org/wiki/Drosselrohrs%C3%A4nger,Acrocephalus arundinaceus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-drosselrohrsaenger_sergey_yeliseev.jpg
Eichelhäher,,Сойка,https://de.wikipedia.org/wiki/Eichelh%C3%A4her,Garrulus glandarius,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-eichelh__her_seehaswer_vollbild.jpg
Eisvogel,,Обыкновенный зимородок,https://de.wikipedia.org/wiki/Eisvogel,Alcedo atthis,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-eisvogel_mglhhr8_karunakar_rayker.jpg
Elster,,Сорока,https://de.wikipedia.org/wiki/Elster,Pica pica,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-elster___foto_von_enrico_seehawer.jpg
Fitis,Fitisaubsänger,Пеночка-весничка,https://de.wikipedia.org/wiki/Fitis,Phylloscopus trochilus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-fitis_steve_garvie.jpg
Gartenbaumläufer,,Короткопалая пищуха,https://de.wikipedia.org/wiki/Gartenbauml%C3%A4ufer,Certhia brachydactyla,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-gartenbaumlaeufer_aleph.jpg
Gartengrasmücke,,Садовая славка,https://de.wikipedia.org/wiki/Gartengrasm%C3%BCcke,Sylvia borin,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-gartengrasmuecke_ron_knight.jpg
Gartenrotschwanz,,Обыкновенная горихвостка,https://de.wikipedia.org/wiki/Gartenrotschwanz,Phoenicurus phoenicurus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-gartenrotschwanz_steve_garvie.jpg
Gelbspötter,,Зелёная пересмешка,https://de.wikipedia.org/wiki/Gelbsp%C3%B6tter,Hippolais icterina,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-gelbspoetter_mike_pennington.jpg
Gimpel,Dompfaff,Снегирь,https://de.wikipedia.org/wiki/Dompfaff,Pyrrhula pyrrhula,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-1151392_gimpel_juha_soininen.jpg
Girlitz,,Канареечный вьюрок,https://de.wikipedia.org/wiki/Girlitz,Serinus serinus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-girlitz_luis_garc__a.jpg
Goldammer,,Обыкновенная овсянка,https://de.wikipedia.org/wiki/Goldammer,Emberiza citrinella,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-goldammer_alan_vernon.jpg
Graureiher,,Серая цапля,https://de.wikipedia.org/wiki/Graureiher,Ardea cinera,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-graureiher___foto_von_enrico_seehawer.jpg
Grauschnäpper,,Серая мухоловка,https://de.wikipedia.org/wiki/Grauschn%C3%A4pper,Musicapa striata,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-grauschnaepper__jerzystrzelecki.jpg
Grauspecht,,Седой дятел,https://de.wikipedia.org/wiki/Grauspecht,Picus canus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-grauspecht_arudhio.jpg
Grünfink,Grünling,Обыкновенная зеленушка,https://de.wikipedia.org/wiki/Gr%C3%BCnfink,Chloris chloris/Carduelis chloris,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-gruenfink___foto_von_enrico_seehawer.jpg
Grünspecht,,Зелёный дятел,https://de.wikipedia.org/wiki/Gr%C3%BCnspecht,Picus viridis,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-gruenspecht_remy_bpl.jpg
Hänfling,Bluthänfling,Коноплянка,https://de.wikipedia.org/wiki/H%C3%A4nfling,Linaria cannabina,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-haenfling_mindaugas_urbonas.jpg
Haubenlerche,,Хохлатый жаворонок,https://de.wikipedia.org/wiki/Haubenlerche,Galerida cristata,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-haubenlerche_avitopia.jpg
Haubenmeise,,Хохлатая синица,https://de.wikipedia.org/wiki/Haubenmeise,Lophophanus cristatus/Parus cristatus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-haubenmeise_artur_miko__ajewski.jpg
Haubentaucher,,Большая поганка,https://de.wikipedia.org/wiki/Haubentaucher,Podiceps cristatus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-haubentaucher_dickdaniels.jpg
Hausrotschwanz,,Горихвостка-чернушка,https://de.wikipedia.org/wiki/Hausrotschwanz,Phoenicurus ochruros,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-hausrotschwanz_wikinoby.jpg
Haussperling,Spatz,Домовый воробей,https://de.wikipedia.org/wiki/Haussperling,Passer domesticus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-haussperling_iva_villi_ook2mf8.jpg
Haustaube,,Сизый голубь,https://de.wikipedia.org/wiki/Haustaube,Columba livia domesticus,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-haustaube_nrao3t4_sanja_gjenero.jpg
Heckenbraunelle,,Лесная завирушка,https://de.wikipedia.org/wiki/Heckenbraunelle,Prunella modularis,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-heckenbraunelle_jim_middleton.jpg
Höckerschwan,,Лебедь-шипун,https://de.wikipedia.org/wiki/H%C3%B6ckerschwan,Cygnus olor,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-seehawer_hoeckerschwan.jpg
Hohltaube,,Клинтух,https://de.wikipedia.org/wiki/Hohltaube,Columba oenas,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-hohltaube_chris_cant.jpg
Klappergrasmücke,,Славка-завирушка,https://de.wikipedia.org/wiki/Klappergrasm%C3%BCcke,Sylvia curruca,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutzamt/naturschutz/pflanzen-artenschutz/mdb-klappergrasmuecke_steevie.jpg
